"filename", "language", "JavaScript", "JSON", "TypeScript JSX", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"c:\Users\veget\Documents\graduation_project\saedah\App.tsx", "TypeScript JSX", 0, 0, -51, 0, 0, 0, -5, -56
"c:\Users\veget\Documents\graduation_project\saedah\app.json", "JSON", 0, -14, 0, 0, 0, -29, 0, -43
"c:\Users\veget\Documents\graduation_project\saedah\assets\ArrowDown.json", "JSON", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\veget\Documents\graduation_project\saedah\assets\Community.json", "JSON", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\veget\Documents\graduation_project\saedah\assets\Money.json", "JSON", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\veget\Documents\graduation_project\saedah\assets\SaudiArabia.json", "JSON", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\veget\Documents\graduation_project\saedah\assets\Themes.ts", "TypeScript", 0, 0, 0, 0, -14, 0, -3, -17
"c:\Users\veget\Documents\graduation_project\saedah\assets\Themes\dark.ts", "TypeScript", 0, 0, 0, 0, -17, 0, -3, -20
"c:\Users\veget\Documents\graduation_project\saedah\assets\Themes\light.ts", "TypeScript", 0, 0, 0, 0, -17, 0, -3, -20
"c:\Users\veget\Documents\graduation_project\saedah\assets\Themes\themeType.ts", "TypeScript", 0, 0, 0, 0, -16, 0, -1, -17
"c:\Users\veget\Documents\graduation_project\saedah\babel.config.js", "JavaScript", -33, 0, 0, 0, 0, 0, -1, -34
"c:\Users\veget\Documents\graduation_project\saedah\i18n.js", "JavaScript", -20, 0, 0, 0, 0, 0, -5, -25
"c:\Users\veget\Documents\graduation_project\saedah\package-lock.json", "JSON", 0, -15625, 0, 0, 0, 0, -1, -15626
"c:\Users\veget\Documents\graduation_project\saedah\package.json", "JSON", 0, -66, 0, 0, 0, 0, -1, -67
"c:\Users\veget\Documents\graduation_project\saedah\tailwind.config.js", "JavaScript", -7, 0, 0, 0, 0, -1, -2, -10
"c:\Users\veget\Documents\graduation_project\saedah\tsconfig.json", "JSON with Comments", 0, 0, 0, -9, 0, -13, 0, -22
"Total", "-", -60, -15709, -51, -9, -64, -43, -25, -15961
