"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\veget\Documents\graduation_project\saedah\src\components\CustomStatusBar.tsx", "TypeScript JSX", 0, 31, 0, 1, 3, 35
"c:\Users\veget\Documents\graduation_project\saedah\src\components\Fields\AuthButton.tsx", "TypeScript JSX", 0, 44, 0, 0, 4, 48
"c:\Users\veget\Documents\graduation_project\saedah\src\components\Fields\DatePicker.tsx", "TypeScript JSX", 0, 90, 0, 0, 5, 95
"c:\Users\veget\Documents\graduation_project\saedah\src\components\Fields\Field.tsx", "TypeScript JSX", 0, 64, 0, 1, 8, 73
"c:\Users\veget\Documents\graduation_project\saedah\src\components\Fields\ImageField.tsx", "TypeScript JSX", 0, 128, 0, 21, 10, 159
"c:\Users\veget\Documents\graduation_project\saedah\src\components\Fields\LocationField.tsx", "TypeScript JSX", 0, 121, 0, 2, 8, 131
"c:\Users\veget\Documents\graduation_project\saedah\src\components\Fields\MapField.tsx", "TypeScript JSX", 0, 89, 0, 0, 8, 97
"c:\Users\veget\Documents\graduation_project\saedah\src\components\Fields\ModalImageLocation.tsx", "TypeScript JSX", 0, 136, 0, 3, 7, 146
"c:\Users\veget\Documents\graduation_project\saedah\src\components\Fields\PasswordField.tsx", "TypeScript JSX", 0, 41, 0, 0, 3, 44
"c:\Users\veget\Documents\graduation_project\saedah\src\components\Fields\Submit.tsx", "TypeScript JSX", 0, 38, 0, 0, 8, 46
"c:\Users\veget\Documents\graduation_project\saedah\src\components\Fields\TextField.tsx", "TypeScript JSX", 0, 42, 0, 0, 6, 48
"c:\Users\veget\Documents\graduation_project\saedah\src\components\Filters\FilterBubble.tsx", "TypeScript JSX", 0, 47, 0, 0, 4, 51
"c:\Users\veget\Documents\graduation_project\saedah\src\components\Filters\Filters.tsx", "TypeScript JSX", 0, 98, 0, 0, 3, 101
"c:\Users\veget\Documents\graduation_project\saedah\src\components\Hr.tsx", "TypeScript JSX", 0, 16, 0, 0, 3, 19
"c:\Users\veget\Documents\graduation_project\saedah\src\components\ImageCard.tsx", "TypeScript JSX", 0, 10, 0, 0, 2, 12
"c:\Users\veget\Documents\graduation_project\saedah\src\components\Logo.tsx", "TypeScript JSX", 0, 14, 0, 0, 2, 16
"c:\Users\veget\Documents\graduation_project\saedah\src\components\Profile\Label.tsx", "TypeScript JSX", 0, 41, 0, 0, 6, 47
"c:\Users\veget\Documents\graduation_project\saedah\src\components\Profile\LogoutAlertActions.tsx", "TypeScript JSX", 0, 96, 0, 0, 10, 106
"c:\Users\veget\Documents\graduation_project\saedah\src\components\Profile\LogoutAlertHeader.tsx", "TypeScript JSX", 0, 42, 0, 0, 2, 44
